title,link,published,summary,label
Hindustan Times,https://www.hindustantimes.com/cities/others/government-railway-police-grp-seizes-2-3kg-elephant-tusk-from-lachit-express-train-in-assam-arrests-smuggler-101692717988667.html,2023-08-22,"The Government Railway Police (GRP) on Tuesday seized Elephant tusk weighing 2.3 kilograms from Lachit Express train at Kamakhya Railway Station in Assam‚Äôs Guwahati. According to the officials of the Assam police, the GRP conducted an operation based on a specific information and searched several trains, including Lachit Express, which was heading to Guwahati, at Kamakhya Railway Station on Tuesday morning. ‚ÄúOne person named Sandeep Joshi was carrying the elephant tusk and he has been arrested under the Wildlife Protection Act. He was handed over to the Guwahati police later,‚Äù an official said. This is the third recovery of elephant tusk from the suspected smugglers and poachers in Assam in the last ten days, according to the officials. On August 18, forest officials in Morigaon recovered elephant tusk weighing 2.5 kg from a residence. The owner of the house was arrested under the Wildlife Protection Act for allegedly being involved in smuggling of wildlife animal body parts.",1
"Assam: Elephant tusk seized by Railway Police in Guwahati, 1 arrested",https://www.eastmojo.com/assam/2023/08/22/assam-elephant-tusk-seized-by-railway-police-in-guwahati-1-arrested/,2023-08-22,"A significant amount of illicit elephant ivory was seized during an operation led by the Government Railway Police (GRP) at Kamakhya Railway station located in Maligaon on Tuesday. The Railway police team was inspecting the Guwahati-bound Lachit Express train, officials stated. The elephant tusk weighed about 2.300 kg and the estimated worth of the seized ivory is approximately Rs 8-10 lakh, sources said. Sandeep Joshi, identified as the person found with the elephant tusk, was arrested after the operation.",1
Elphant Tusk Seized at Guwahati's Kamakhya Railway Station,https://assamtribune.com/guwahati/elephant-tusk-seized-at-guwahatis-kamakhya-railway-station-1490896,2023-08-22,"GUWAHATI: In a recent operation conducted by the Government Railway Police (GRP) at Kamakhya Railway Station in Guwahati’s Maligaon, a substantial haul of contraband elephant ivory was confiscated.",1
Assam: Illegal Elephant Ivory Seized in Guwahati Search Operation,https://www.sentinelassam.com/north-east-india-news/assam-news/assam-illegal-elephant-ivory-seized-in-guwahati-search-operation-663740,2023-08-22,"In a recent operation conducted by the Government Railway Police (GRP) at Kamakhya Railway Station in Guwahati‚Äôs Maligaon, a substantial haul of contraband elephant ivory was confiscated. The operation, which took place on a Tuesday, targeted the Guwahati-bound Lachit Express. Sources with inside information revealed that during the operation, law enforcement officials discovered an elephant tooth weighing an astonishing 2.300 kilograms. This discovery underscores the ongoing battle against the illegal trade in wildlife products. The individual found to be associated with the illegal possession of the elephant tooth has been identified as Sandeep Joshi. He was apprehended as a result of the operation. This arrest signifies a significant step towards dismantling the networks responsible for trafficking endangered species' body parts.",1
Gauteng Hawks bust three men for illegal possession of elephant tusks,https://www.iol.co.za/news/crime-and-courts/gauteng-hawks-bust-three-men-for-illegal-possession-of-elephant-tusks-3ebe4db5-490c-4816-93ce-a296bcbb5c61,2023-09-07,The Hawks’ Serious Organised Crime Johannesburg and K9 Unit Johannesburg arrested three men who were driving a Nissan Almera loaded with ivory tusks around the Bruma area in Johannesburg.,1
3 arrested for possession of elephant tusks in Joburg,https://www.citizen.co.za/lowvelder/lnn/article/3-arrested-for-possession-of-elephant-tusks-in-joburg/,,Police acted on information about a car transporting ivory in Gauteng.,1
Local Hawks arrest three for possession of elephant tusks,https://germistoncitynews.co.za/307944/three-arrested-for-possession-of-elephant-tusks/,2023-09-08,"They will appear in court on Friday, September 8 on charges of possession of elephant tusks and contravening the National Environmental Management Biodiversity Act.",1
Zimbabweans arrested at border with an elephant tusk and pangolin,https://reviewonline.co.za/557384/zimbabweans-arrested-at-border-with-an-elephant-tusk-and-pangolin/,2022-11-21,Two Zimbabwean nationals were arrested after crossing into South Africa on a boat and were found in possession of a pangolin and an elephant tusk.,1
"Suspects nabbed with pangolin, elephant tusk at Beitbridge border",https://www.timeslive.co.za/news/south-africa/2022-11-21-suspects-nabbed-with-pangolin-elephant-tusk-at-beitbridge-border/,2022-11-21,Two suspects who were arrested for possession of a pangolin and an elephant tusk worth R1m at the Beitbridge bridge border line in Limpopo are expected to appear in court on Monday.,1
Two Suspected Poachers Nabbed In Sa,https://www.herald.co.zw/two-suspected-poachers-nabbed-in-sa/,2022-11-24,"TWO Zimbabweans aged 32 and 43 have been arrested in South Africa for allegedly smuggling an elephant tusk and a pangolin, worth around R1 million, through an illegal entry point along the Limpopo River.",1
Lanzhou Customs seizes ivory products from Laos,http://www.sohu.com/a/294978005_123753,,"In the early morning of February 13, Lanzhou Customs, under the Zhongchuan Airport Customs, seized seven suspected ivory bracelets weighing a total of 201 grams from the luggage of seven Chinese passengers while supervising flight ZA713 from Luang Prabang, Laos to Lanzhou. After identification by relevant departments, they were all made of ivory. The picture shows the imported ivory products seized on site. Photo courtesy of Lanzhou Customs",1
Karnataka: Two held while trying to sell elephant tusk,http://www.newindianexpress.com/states/karnataka/2019/mar/12/karnataka-two-held-while-trying-to-sell-elephant-tusk-1950047.html,2019-03-11,"The Forest CID team nabbed two people here on Sunday evening while they were attempting to sell an elephant tusk, allegedly worth Rs 75,000.",1
3 traffickers arrested with two tusks,https://www.eagle-enforcement.org/news/3-traffickers-arrested-with-two-tusks--A584/,2020-05-07,3 traffickers arrested with two ivory tusks weighing 26kg. The two men transported the ivory in the trunk of a car and were arrested during an attempt to sell the tusks.,1
Cameroon: The court slams an ivory trafficker to one year in prison,https://allafrica.com/stories/202012030217.html,2020-12-02,The Court of First Instance of Ndokoti in Douala has sentenced an ivory trafficker to one year in prison and to pay a fine of 200.000FCFA. Manyombe Samuel Joël was charged with illegal possession and trafficking of ivory tusks following his arrest last May. He was arrested alongside MakembeLydie and TchiekouThéophile who were equally charged for similar offences but given a one year suspended sentence term for 3 years each. They were equally ordered to pay a fine of 200 000 FCFA. The court judgement was passed on November 26.,1
CAMEROUN :: Three ivory traffickers shall appear in court :: CAMEROON,https://www.camer.be/83219/11:1/cameroun-three-ivory-traffickers-shall-appear-in-court-cameroon.html,2020-11-19,"Three suspected wildlife traffickers shall appear at the Court of First Instance of Ndokoti in Douala on November 26, 2020 to answer to charges ofivory trafficking. The threewere arrested on May 7 during a crackdown operation carried out by the Littoral Regional Delegation of Forestry and Wildlife in collaboration with the Police.",1
Alberton Record,https://albertonrecord.co.za/352587/duo-busted-for-possession-of-an-elephant-tusk-in-alberton/,2023-10-04,"Benoni and Sedibeng SAPS K9 Unit together with SAPS Stock Theft Unit joined forces with Fox Security to apprehend two suspects on September 29. This was after the members entered premises in the Alberton SAPS policing precinct where the two suspects were found with an elephant tusk of about 32kg, worth around R210 000.The duo was marched to Alberton SAPS where they were charged for possession of ivory or elephant tusk. They are expected to appear in the Palm Ridge Magistrate‚Äôs Court soon.",1
"A member of poaching gang was arrested by the West Garo Hills (WGH) police along with the state‚Äôs wildlife team from the Indo- Bangla border with elephant tusks. Based on inputs from the BSF, at about 7 pm on May 28, a joint operation was conducted along with the Wildlife department of Tura. A raid on one of the suspect‚Äôs house in Balijhora in Purakhasia led to the recovery of two elephant tusks. The accused was then arrested under Wildlife Protection Act after legal formalities were observed.",https://thenortheasttoday.com/states/meghalaya/meghalaya-poacher-arrested-with-elephant-tusks-from-ind0/cid2527076.htm,,,1
"Assam: Elephant tusk smuggler arrested in Chirang, two tusks recovered",https://nenow.in/north-east-news/assam/assam-elephant-tusk-smuggler-arrested-in-chirang-two-tusks-recovered.html,2020-08-24,Chirang police arrested an elephant tusk smuggler identified as Alen Basumatary and recovered two tusks from his possession. Authorities carried out the operation after receiving a tip that around 60 kg of elephant tusks was hidden near the Dadgiri area and suspect more may be concealed near the Nepal–Bhutan border.,1
Four arrested with 20 kg ivory,https://www.newindianexpress.com/states/kerala/2020/sep/05/four-arrested-with-20kg-ivory-2192619.html,2020-09-05,Periya Range forest officials arrested four persons from Mananthavady for possessing elephant tusks weighing a total of 20 kg and allegedly attempting to sell them. The investigation began after a search around an elephant carcass from which the tusks had been removed.,1
Four arrested for smuggling elephant tusks in Karnataka,https://www.deccanherald.com/state/four-arrested-for-smuggling-elephant-tusks-in-karnataka-967160.html,x,"Four individuals have been apprehended in Karnataka on charges of smuggling elephant tusks. Authorities recovered the tusks during a coordinated operation, and an investigation is underway to trace the smuggling network.",1
Elephant tusks seized from rock cavity in Parunthumpara,https://www.thehindu.com/news/national/kerala/elephant-tusks-seized-from-rock-cavity-in-parunthumpara/article36639148.ece,,"Authorities in Kerala have recovered elephant tusks found hidden within a rock cavity in Parunthumpara. The discovery came following a tip-off, and an investigation has been launched to trace any links to smuggling networks.",1
Three arrested with ivory tusks in Banke,https://english.khabarhub.com/2021/06/201370/,2021-08-06,"Police in Banke arrested three individuals after recovering ivory tusks from their possession in Baijnath Rural Municipality. The suspects were apprehended based on a tip-off, and the recovered tusks are currently under further investigation.",1
Gabon: two poachers arrested with six ivory points in the south,https://www.savetheelephants.org/about-elephants-2-3-2/elephant-news-post/?detail=gabon-two-poachers-arrested-with-six-ivory-points-in-the-south,2021-07-26,"In Gabon’s Haut-Ogooué province, two poachers were arrested in Mounana while preparing to travel to Libreville. The suspects were found with a travel bag concealing six ivory points, and they now face charges with a potential prison sentence of up to 10 years.",1
5 held for possessing elephant tusks,https://timesofindia.indiatimes.com/city/mysuru/5-held-for-possessing-elephant-tusks/articleshow/96159458.cms,,"In Mysuru, police have detained five individuals for possession of elephant tusks. The apprehensions came during an investigation into illegal wildlife trafficking, and further probes are underway to determine the source and network involved.",1
Five elephant tusks smugglers arrested,https://starofmysore.com/five-elephant-tusks-smugglers-arrested/,2022-12-12,"Forest officials in Gundlupet arrested five individuals who were attempting to smuggle two elephant tusks. The suspects, along with the vehicle used in the operation, have been seized, and a case has been registered against them as the investigation continues.",1
Suspected ivory dealers arrested,https://www.newvision.co.ug/articledetails/114643,2021-09-13,"Uganda Wildlife Authority (UWA) arrested a suspect while seizing 50 kg of elephant ivory along the Entebbe–Kampala road. The operation, following a week-long surveillance, resulted in one suspect’s arrest while another fled, and further efforts are underway to apprehend the latter.",1
Elephant tusks worth lakhs seized in Subarnapur  2 thieves held,https://kalingatv.com/state/elephant-tusks-worth-lakhs-seized-in-subarnapur-2-thieves-held/,,"Authorities in Subarnapur have seized elephant tusks valued at several lakhs and arrested two individuals suspected of smuggling them. The seized tusks are undergoing verification, and the investigation into the smuggling ring is in progress.",1
Elephant tusk seized  2 held by 24th BN SSB in Rangia,https://www.sentinelassam.com/north-east-india-news/assam-news/elephant-tusk-seized-2-held-by-24th-bn-ssb-rangia-550267,,"In Assam, the 24th Battalion of the Sashastra Seema Bal in Rangia seized an elephant tusk and detained two individuals during an operation targeting illegal wildlife trade. The seizure is part of broader efforts to crack down on poaching and smuggling in the region.",1
3 nabbed for selling elephant tusks,https://timesofindia.indiatimes.com/city/nagpur/3-nabbed-for-selling-elephant-tusks/articleshow/81435005.cms?utm_source=contentofinterest&utm_medium=text&utm_campaign=cppst,,"In Nagpur, authorities arrested three individuals for allegedly selling elephant tusks as part of efforts to crack down on illegal wildlife trafficking.",1
Congo: Four poachers arrested with 35 kg of ivory,http://www.xinhuanet.com/2021-03/17/c_1127222958.htm,2021-03-17,"Xinhua reports that four poachers were apprehended in Congo after 35 kg of ivory was seized, with the suspects believed to be part of extensive wildlife trafficking networks.",1
【Breaking】Elephant tusk smuggling case highlights wildlife crime,https://mp.weixin.qq.com/s/p5S_seWLWFShMdVpKEsIuQ,,"A Weixin article details a significant operation against elephant tusk smugglers, offering insights into arrests and seizures in the ongoing fight against wildlife crime.",1
Elephant ivory trade crackdown intensifies,https://mp.weixin.qq.com/s/Rg1PsNTnBGZTEmuFzS2cKQ,,"This Weixin post discusses how enforcement agencies are intensifying their crackdown on the illegal elephant ivory trade, with new arrests and seizure updates.",1
Update on wildlife trafficking enforcement operations,https://mp.weixin.qq.com/s/rvIOs7hpA9omyWUVf6zSTg,,"A Weixin report provides recent updates on operations targeting wildlife trafficking, emphasizing elephant ivory seizures and the arrest of key suspects.",1
EAGLE Briefing – Wildlife Enforcement Newsletter,https://us15.campaign-archive.com/?u=a3411a20796c774536f852532&id=caea43f2ea,Jun-22,"A newsletter from EAGLE outlines recent enforcement actions against wildlife crime, summarizing arrests and key intelligence on elephant ivory trafficking.",1
EAGLE Briefing June 2022 (Public),https://www.eagle-enforcement.org/data/files/eagle-briefing-june-2022-public.pdf,Jun-22,This public briefing document from EAGLE Enforcement provides a detailed overview of wildlife crime operations and intelligence regarding elephant ivory trafficking during June 2022.,1
Gabon: The ivory storage site of the Lambarene court is the target of a burglary,https://www.afrik21.africa/en/gabon-the-ivory-storage-site-of-the-lambarene-court-is-the-target-of-a-burglary/,,An Afrik21 article reports that a burglary targeting the ivory storage facility at Gabon’s Lambarene court has raised concerns over the security of seized ivory and ongoing challenges in combating wildlife crime.,1
Breaking: Latest update on ivory seizures and smuggling networks,https://mp.weixin.qq.com/s/gAiUvbYRifg5v-dJGIH4vw,,"A Weixin post shares the latest developments in ivory seizures, reporting new arrests and insights into smuggling networks operating in the region.",1
In-depth analysis of wildlife trafficking trends in Asia,https://mp.weixin.qq.com/s/1cBcBJDg2IaPjkAbNgSDTA,,"This Weixin article offers an in-depth analysis of current trends in the illegal wildlife trade in Asia, with a particular focus on elephant ivory.",1
Two arrested with elephant ivory in Deogarh,https://pragativadi.com/two-arrested-with-elephant-ivory-in-deogarh/,,"In Deogarh, local authorities have arrested two individuals in connection with the possession of elephant ivory, as part of ongoing efforts to combat illegal wildlife trade.",1
"Elephant tusks weighing 11 kg seized, two held in Odisha",https://www.newindianexpress.com/states/odisha/2022/dec/14/elephant-tusks-weighing-11-kg-seized-two-held-in-odisha-2528079.html,2022-12-14,"Odisha officials have seized elephant tusks totaling 11 kg and detained two suspects in connection with the illegal ivory trade, according to the latest report.",1
Q1 2022 Ranger Report,https://maraelephantproject.org/q1-2022-ranger-report/,2022-Q1,"The Mara Elephant Project’s Q1 2022 Ranger Report outlines field observations and enforcement actions against poaching and illegal ivory trade, highlighting challenges in elephant conservation.",1
Baidu Baijiahao: Elephant ivory seizure reported,https://baijiahao.baidu.com/s?id=1630848822696293126&wfr=spider&for=pc,,"A report on Baijiahao describes a customs seizure of elephant ivory in China, underscoring ongoing efforts to curb illegal wildlife trafficking.",1
WCB 2020 No.2 – Wildlife Crime Bulletin,https://env4wildlife.org/wp-content/uploads/2021/02/WCB-2020-No.2_EN_7.10.2020-Final_web_2.pdf,2020-10-07,"This document is the second issue of the Wildlife Crime Bulletin for 2020, offering insights and analysis on recent cases and trends in wildlife crime, including elephant ivory trafficking.",1
Elephant ivory seizure reported on Baijiahao,https://baijiahao.baidu.com/s?id=1630848822696293126&wfr=spider&for=pc,,A Baijiahao post describing a seizure of elephant ivory. The article highlights local authorities’ ongoing crackdown on wildlife trafficking.,1
WCB 2020 No.2 – Wildlife Crime Bulletin,https://env4wildlife.org/wp-content/uploads/2021/02/WCB-2020-No.2_EN_7.10.2020-Final_web_2.pdf,2020-10-07,"This bulletin focuses on major wildlife crime developments, including details on elephant ivory trafficking cases and law enforcement responses in various regions.",1
Nine traffickers held in Vietnam with 215 pangolins,https://e.vnexpress.net/news/news/nine-traffickers-held-in-vietnam-with-215-pangolins-3870343.html,2019-01-22,Vietnamese authorities arrested nine traffickers and rescued 215 pangolins. The suspects were part of a larger illegal wildlife trade network.,1
Qatar Tribune report on wildlife trafficking,https://www.qatar-tribune.com/news-details/id/152585,,A Qatar Tribune article reporting on an incident related to wildlife trafficking. It highlights enforcement actions taken against those involved in illegal trade.,1
Elephant tusk trafficking case reported on Weixin,https://mp.weixin.qq.com/s/AJdeomdfo78zJXCZdSuYWg,,A Weixin post describing a recent case of elephant tusk smuggling. Officials emphasize increased vigilance and ongoing operations to curb illegal wildlife trade.,1
Crackdown on ivory smuggling (Weixin),https://mp.weixin.qq.com/s/y-_ajMs1Seom7JNNVVYKOw,,Another Weixin article detailing an enforcement operation against ivory smugglers. Authorities seized tusks and apprehended suspects linked to the trade.,1
Two Vietnamese enterprises fined for selling walrus ivory (Zing News),https://zingnews.vn/hai-doanh-nghiep-ban-trang-suc-nga-voi-bi-phat-gan-mot-ty-dong-post1297143.html,,Zing News reports that two companies selling walrus-ivory jewelry have been fined nearly one billion dong. This case underscores Vietnam’s stricter measures against illegal wildlife products.,1
Elephant tusk trafficking case (Weixin),https://mp.weixin.qq.com/s/AJdeomdfo78zJXCZdSuYWg,,"(Duplicate link) A Weixin post describing a recent case of elephant tusk smuggling, echoing details about an ongoing crackdown and enforcement results.",1
Ivory from at least 150 poached elephants seized in the DRC raid,https://africanelephantjournal.com/ivory-from-at-least-150-poached-elephants-seized-in-the-drc-raid/,,"According to the African Elephant Journal, authorities in the DRC seized ivory from an estimated 150 elephants. The raid reflects extensive poaching and smuggling networks in the region.",1
"Interpol makes arrests, seizures in African clampdown on firearms trafficking",https://english.alarabiya.net/News/world/2022/07/02/Interpol-make-arrests-seizures-in-African-clampdown-on-firearms-trafficking,2022-07-02,"Interpol’s operation led to multiple arrests and seizures, including elephant ivory found alongside illegal firearms. This clampdown targeted cross-border criminal networks in Africa.",1
1.5 tonnes of elephant ivory seized in southeast DR Congo,https://www.aljazeera.com/news/2022/5/19/1-5-tonnes-of-elephant-ivory-seized-in-southeast-dr-congo,2022-05-19,Authorities in southeastern DR Congo confiscated 1.5 tonnes of elephant ivory in a major bust. Investigations suggest the tusks originated from extensive poaching operations.,1
One and a half tons of ivory seized in Lubumbashi,https://me-confidential.com/27098-one-and-a-half-tons-of-ivory-seized-in-lubumbashi.html,,"A report indicates that 1.5 tons of elephant ivory were discovered in Lubumbashi, DR Congo. Local officials are investigating links to larger trafficking networks.",1
"STF team arrests smuggler, seizes elephant tusk",http://www.uniindia.com/~/stf-team-arrests-smuggler-and-seized-an-elephant-tusk-from-his-possession/States/news/2562768.html,,A Special Task Force (STF) apprehended a suspect in possession of an elephant tusk. The arrest is part of ongoing efforts to combat illegal wildlife trafficking.,1
Recent enforcement actions against ivory trade (Weixin),https://mp.weixin.qq.com/s/Il5KknhsoFKhNLpCEpR2dQ,,"A Weixin post detailing recent enforcement measures against illegal ivory trade, highlighting arrests and the confiscation of smuggled tusks.",1
Chhattisgarh: 3 held for removing tusks of dead elephant,https://www.outlookindia.com/newsscroll/chhattisgarh-3-held-for-removing-tusks-of-dead-elephant/2110618,,"According to an Outlook India report, three individuals were arrested in Chhattisgarh for removing tusks from a deceased elephant. Authorities have launched a thorough investigation.",1
"Operation Wildnet 3 yields more success, smuggler held",https://www.thehitavada.com/Encyc/2020/8/12/Operation-Wildnet-3-yields-more-success-smuggler-held.html,2020-08-12,"A Hitavada article about ‘Operation Wildnet 3,’ during which law enforcement officials arrested a smuggler dealing in illegal wildlife products, including elephant tusks.",1
Suspects arrested for ivory-related crime (CQN),https://www.cqn.com.cn/ms/content/2020-01/19/content_8059548.htm,2020-01-19,"Chinese media source CQN reports the arrest of suspects connected to ivory smuggling. Officials seized tusks as evidence, intensifying efforts to stop the illegal trade.",1
Four held with elephant tusk worth over Rs 1 cr,https://timesofindia.indiatimes.com/city/dehradun/four-held-with-elephant-tusk-worth-over-rs-1-cr/articleshow/81556135.cms,,"In Dehradun, authorities arrested four suspects found with an elephant tusk valued at over one crore rupees. Investigators are examining the source of the contraband.",1
Tanzania: Wildlife crime update (Daily News),https://dailynews.co.tz/news/2020-08-055f2abcf55dbb9.aspx,2020-08-05,"Daily News highlights a wildlife crime case in Tanzania, reporting arrests related to elephant tusks. Officials emphasize the importance of strict legal measures to protect elephants.",1
